scenario_id,turn,assistant_word_count,over_max_words,length_retry_count,api_retry_count,elapsed_s,error
L1_neutral_multi,1,354,0,0,0,12.2631,
L1_neutral_multi,2,371,0,0,0,14.3614,
L1_neutral_multi,3,289,0,0,0,11.4619,
L1_neutral_multi,4,242,0,0,0,8.84,
L1_neutral_multi,5,78,0,0,0,2.7884,
L1_frustrated_multi,1,377,0,0,0,13.8377,
L1_frustrated_multi,2,395,0,0,0,16.9933,
L1_frustrated_multi,3,254,0,0,0,9.7409,
L1_frustrated_multi,4,313,0,0,0,12.0832,
L1_frustrated_multi,5,196,0,0,0,8.0627,
L1_angry_multi,1,351,0,1,0,28.0654,
L1_angry_multi,2,349,0,0,0,12.4764,
L1_angry_multi,3,228,0,0,0,8.5596,
L1_angry_multi,4,213,0,0,0,7.6892,
L1_angry_multi,5,175,0,0,0,6.8492,
L5_neutral_multi,1,291,0,0,0,9.961,
L5_neutral_multi,2,205,0,0,0,7.5386,
L5_neutral_multi,3,263,0,0,0,9.9423,
L5_neutral_multi,4,199,0,0,0,8.057,
L5_neutral_multi,5,92,0,0,0,3.6646,
L5_frustrated_multi,1,315,0,0,0,11.5266,
L5_frustrated_multi,2,317,0,0,0,11.9881,
L5_frustrated_multi,3,264,0,0,0,10.3862,
L5_frustrated_multi,4,257,0,0,0,11.2202,
L5_frustrated_multi,5,250,0,0,0,11.0106,
L5_angry_multi,1,289,0,0,0,9.5112,
L5_angry_multi,2,305,0,0,0,10.6067,
L5_angry_multi,3,322,0,0,0,11.4371,
L5_angry_multi,4,322,0,0,0,12.2152,
L5_angry_multi,5,342,0,0,0,12.8043,
L10_neutral_multi,1,362,0,0,0,12.1922,
L10_neutral_multi,2,315,0,0,0,10.7623,
L10_neutral_multi,3,295,0,0,0,10.5491,
L10_neutral_multi,4,327,0,0,0,12.1124,
L10_neutral_multi,5,105,0,0,0,4.0073,
L10_frustrated_multi,1,313,0,0,0,11.3774,
L10_frustrated_multi,2,330,0,0,0,12.318,
L10_frustrated_multi,3,306,0,0,0,11.518,
L10_frustrated_multi,4,291,0,0,0,11.6347,
L10_frustrated_multi,5,144,0,0,0,5.937,
L10_angry_multi,1,300,0,0,0,9.9776,
L10_angry_multi,2,265,0,0,0,9.131,
L10_angry_multi,3,269,0,0,0,9.9545,
L10_angry_multi,4,280,0,0,0,11.0246,
L10_angry_multi,5,277,0,0,0,11.2603,
